Headword,CEFR,Turkish Meaning,Usable Verbs,Related Words
abandoned,B2,"Terk edilmiş, bırakılmış","abandon, desert, forsake, relinquish","abandonment, derelict, desolate"
abnormally,B2,"Anormal bir şekilde, olağandışı olarak","abnormal, vary, deviate","abnormality, normal"
abolish,B2,"(Yasa, kural vb.) yürürlükten kaldırmak, feshetmek","abolish, cancel, terminate, eliminate","abolition"
aboriginal,B2,"Yerli, aborjin","originate, inhabit","aborigine, aborigines"
abruptly,B2,"Ansızın, aniden, beklenmedik şekilde","stop, halt, interrupt","abrupt"
absentee,B2,"Devamsız, işe/okula gelmeyen kimse","absent, miss, skip","absence, absenteeism"
absurd,B2,"Saçma, anlamsız, akıl almaz","ridicule, mock","absurdity"
abuse,B2,"Kötüye kullanmak, istismar etmek, sövmek","abuse, misuse, mistreat, exploit","abusive, abuser"
access,B2,"Erişmek, ulaşmak, giriş yapmak","access, enter, reach, approach","accessible, accessibility"
accessibility,B2,"Erişilebilirlik, ulaşılabilirlik","access, reach","accessible"
accommodation,B2,"Konaklama, yerleşme, kalacak yer","accommodate, lodge, stay, house"
accordingly,B2,"Buna göre, bînaenaleyh, gereğince","accord, conform"
accumulate,B2,"Biriktirmek, çoğalmak, yığmak","accumulate, amass, collect, gather","accumulation, cumulative"
accusation,B2,"Suçlama, itham","accuse, blame, charge","accuser, accused"
ache,B2,"Ağrımak, sızlamak","ache, hurt, pain, throb","aching"
achievable,B2,"Ulaşılabilir, elde edilebilir, başarılabilir","achieve, attain, accomplish, reach","achievement"
acid,B2,"Asit, ekşi","acidify, corrode","acidity, acidic"
acquisition,B2,"Edinme, kazanım, iktisap","acquire, obtain, gain, get","acquisitive"
actively,B2,"Aktif bir şekilde, faal olarak","act, participate, engage","active, activity, action"
actual,B2,"Gerçek, fiili, aktüel","actualize, realize","actually"
acute,B2,"Şiddetli, akut, keskin","sharpen, acutate","acuteness"
adaptable,B2,"Uyum sağlayabilir, uyarlanabilir","adapt, adjust, fit, conform","adaptability, adaptation"
addict,B2,"Bağımlı kimse, uyuşturucu bağımlısı","addict, hook"
addicted,B2,"Bağımlı, müptela","addict, hook","addiction, addictive"
addiction,B2,"Bağımlılık, düşkünlük","addict"
additionally,B2,"Ek olarak, ayrıca","add, supplement","additional, addition"
adequate,B2,"Yeterli, kâfi, elverişli","suffice, adequacy","adequacy, adequately"
adequately,B2,"Yeterli ölçüde, kâfi derecede","suffice, satisfy","adequate"
adjustment,B2,"Ayarlama, uyum, intibak","adjust, adapt, modify, alter","adjustable"
administrative,B2,"İdari, yönetimsel","administer, manage, govern","administration, administrator"
admirable,B2,"Hayranlık uyandırıcı, takdire şayan","admire, praise, appreciate","admiration, admirably"
admiringly,B2,"Hayranlıkla, beğenerek","admire, appreciate","admiring, admire"
admittedly,B2,"İtiraf etmek gerekirse, kuşkusuz","admit, confess, acknowledge","admit"
adopted,B2,"Evlat edinilmiş, benimsenmiş","adopt, embrace, take on","adoption"
adoption,B2,"Evlat edinme, benimseme, kabul etme","adopt"
adore,B2,"Çok sevmek, tapmak, hayran olmak","adore, worship, love, cherish","adoration, adorable"
adorn,B2,"Süslemek, bezemek","adorn, decorate, ornament, embellish","adornment"
advance,B2,"İlerlemek, öne geçmek, avans vermek","advance, progress, proceed, move","advanced, advancement"
advancement,B2,"İlerleme, gelişme, terfi","advance, promote, progress"
advent,B2,"(Önemli bir olay veya kişinin) gelişi, başlangıcı","arrive, approach, onset"
adventurous,B2,"Macera sever, cesur, risk alabilen","adventure, risk, dare","adventure"
adverse,B2,"Olumsuz, ters, zararlı","oppose, hinder, affect","adversity, adversely"
adversely,B2,"Olumsuz yönde, zararlı şekilde","affect, damage, harm","adverse"
adversity,B2,"Zorluk, felaket, musibet","oppose, suffer, struggle","adverse"
affectionate,B2,"Sevgi dolu, şefkatli","affection, love, care","affection"
affectionately,B2,"Sevgiyle, şefkatle","love, care, hug"
affordable,B2,"Uygun fiyatlı, bütçeye uygun","afford, cost, pay","affordability"
ageless,B2,"Yaşlanmaz, zamansız","age, last, endure"
aggressively,B2,"Agresif bir şekilde, saldırganca","attack, provoke, fight","aggressive, aggression"
agonize/agonise,B2,"Izdırap çekmek, kıvranmak, çok düşünmek","agonize, suffer, torture, torment","agony, agonizing"
agony,B2,"Şiddetli acı, ızdırap, sancı","suffer, agonize","agonizing"
aim,B2,"Amaçlamak, hedefler, nişan almak","aim, target, goal, intend, plan","aimless, aimed"
aircraft,B2,"Uçak, hava taşıtı","fly, navigate"
aircrew,B2,"Uçuş mürettebatı, uçak ekibi","fly, serve"
alcoholic,B2,"Alkollü, alkolik","drink, alcohol, intoxicate","alcoholism"
alcoholism,B2,"Alkolizm, alkol bağımlılığı","drink, abuse","alcoholic"
alert,B2,"Uyarmak, alarmda tutmak, uyanık","alert, warn, caution, notify","alertness"
allegation,B2,"İddia, mesnetsiz suçlama","allege, claim, accuse","allege, alleged"
alliance,B2,"İttifak, birlik, anlaşma","ally, unite, join, collaborate","ally"
ally,B2,"Müttefik olmak, birleşmek","ally, unite, join, associate","alliance"
alongside,B2,"Yan yana, yanında","accompany, side"
alphabetical,B2,"Alfabetik","alphabetize, order, arrange","alphabet"
altar,B2,"Sunak, mihrap","worship, pray"
alter,B2,"Değiştirmek, değiştirmek (kıyafet vb.)","alter, change, modify, adjust","alteration"
alternate,B2,"Nöbetleşe yapmak, sırayla yapmak","alternate, rotate, switch, vary","alternatively, alternation"
alternatively,B2,"Alternatif olarak, diğer bir deyişle","choose, option, alter"
altitude,B2,"Rakım, yükseklik","rise, ascend, climb"
aluminum/aluminium,B2,"Alüminyum","manufacture"
amaze,B2,"Şaşırtmak, hayrete düşürmek","amaze, astonish, surprise, stun","amazement, amazing, amazed"
amazement,B2,"Hayret, şaşkınlık","amaze, astonish"
amazingly,B2,"Şaşırtıcı bir şekilde, inanılmaz derecede","amaze, surprise"
ambassador,B2,"Büyükelçi, elçi","represent, negotiate"
ambiguity,B2,"Belirsizlik, muğlaklık","confuse, obscure","ambiguous"
ambiguous,B2,"Belirsiz, iki anlamlı, muğlak","confuse, obscure, unclearness","ambiguity"
ammonia,B2,"Amonyak"
amongst,B2,"Arasında, ortasında","mix, surround"
ample,B2,"Bol, yeterli, geniş","suffice, abound, expand","amply"
amplifier,B2,"Amfi, ses güçlendirici","amplify, boost, increase"
amplify,B2,"Yükseltmek (ses), büyütmek, şiddetlendirmek","amplify, boost, enlarge, expand","amplifier"
amuse,B2,"Eğlendirmek, güldürmek, avutmak","amuse, entertain, delight, please","amusement, amusing"
analogy,B2,"Benzetme, analoji","compare, liken, relate","analogous"
analyst,B2,"Analist, çözümleyici","analyze, examine, evaluate","analysis"
anchor,B2,"Demir atmak, tutturmak, sunmak","anchor, secure, fix, moor","anchorage, anchorman"
anchorage,B2,"Demirleme yeri, liman","anchor, dock, harbor"
anchorman,B2,"Haber spikeri (erkek), ana sunucu","anchor, present, broadcast"
anchorperson,B2,"Haber sunucusu, ana sunucu","anchor, present, broadcast"
anguish,B2,"Şiddetli ıstırap, keder, acı","suffer, torment, agonize","anguished"
animate,B2,"Canlandırmak, hareket katmak","animate, revive, enliven, excite","animation, animated"
anonymous,B2,"Anonim, adı bilinmeyen","hide, conceal, mask","anonymity"
antiaircraft,B2,"Uçaksavar","defend, shoot"
antibacterial,B2,"Antibakteriyel, bakteri karşıtı","protect, clean"
anticancer,B2,"Kanser karşıtı","cure, fight, treat"
anticipate,B2,"Öngörmek, ummak, beklemek","anticipate, foresee, expect, predict","anticipation"
anticipation,B2,"Beklenti, önsezi, sezme","anticipate, expect, hope"
antipollution,B2,"Kirlilik önleyici","protect, clean, filter"
antique,B2,"Antika, eski eşya","collect, preserve","antiquity"
antistatic,B2,"Anti-statik, statik elektrik önleyici","protect"
antivirus,B2,"Antivirüs","protect, clean, scan"
apostrophe,B2,"Kesme işareti"
appeal,B2,"Cezbetmek, başvurmak, temyize gitmek","appeal, attract, beg, plead","appealing"
applicant,B2,"Başvuru sahibi, aday","apply, candidate, seek","application, apply"
appreciative,B2,"Takdir eden, minnettar","appreciate, value, thank","appreciation"
approach,B2,"Yaklaşmak, yaklaşım, ele almak","approach, near, method, tackle","approachable, approximation"
appropriately,B2,"Uygun bir şekilde, yerinde olarak","fit, suit, proper","appropriate"
approximate,B2,"Yaklaşık olmak, tahmini olmak","approximate, estimate, near","approximation, approximately"
arch,B2,"Kemer, kemer yapmak","arch, curve, bend","arched"
archaeologist/archeologist,B2,"Arkeolog","dig, excavate, discover","archaeology"
arctic,B2,"Arktik, kutup bölgesi","freeze, chill"
arena,B2,"Arena, alan, meydan","compete, fight"
aristocracy,B2,"Arisokrasi, soylu sınıf","rule, govern","aristocrat, aristocratic"
armful,B2,"Kucak dolusu","hold, carry"
arouse,B2,"Uyandırmak (duygu vb.), harekete geçirmek","arouse, evoke, stir, stimulate","arousal"
arrogant,B2,"Kibirli, kendini beğenmiş","boast, brag, pride","arrogance"
artery,B2,"Atardamar, ana arter","flow, circulate"
articulate,B2,"Düzgün konuşmak, açıkça ifade etmek","articulate, express, voice, pronounce","articulation, articulate"
artificially,B2,"Yapay olarak","manufacture, fake, build","artificial"
artistry,B2,"Sanatkarlık, sanatçılık","create, perform, art"
ash,B2,"Kül","burn, burn down"
aspiration,B2,"Güçlü arzu, heves, özlem","aspire, aim, desire, wish","aspiring"
aspire,B2,"Şiddetle arzu etmek, heves etmek","aspire, aim, strive, desire","aspiration"
assault,B2,"Saldırmak, darp etmek, saldırı","assault, attack, strike, hit","assailant"
assemble,B2,"Toplamak, monte etmek, bir araya gelmek","assemble, gather, build, construct","assembly"
assembly,B2,"Meclis, montaj, toplantı","assemble, gather, meet"
assert,B2,"İleri sürmek, savunmak, iddia etmek","assert, claim, declare, maintain","assertion, assertive"
assess,B2,"Değerlendirmek, değer biçmek","assess, evaluate, judge, estimate","assessment"
assessment,B2,"Değerlendirme, kıymet biçme","assess, evaluate"
assumption,B2,"Varsayım, kabullenme","assume, presume, suppose"
assurance,B2,"Güvence, garanti, teminat","assure, guarantee, promise"
assure,B2,"Güvence vermek, garanti etmek","assure, promise, ensure, convince","assurance, assuredly"
astonish,B2,"Şaşırtmak, hayrete düşürmek","astonish, amaze, surprise, stun","astonishment, astonishing, astonished"
astonished,B2,"Şaşırmış, hayrete düşmüş","astonish, surprise"
astonishing,B2,"Şaşırtıcı, hayran bırakıcı","astonish, amaze"
astonishment,B2,"Hayret, şaşkınlık","astonish, surprise"
astronomy,B2,"Astronomi, gökbilim","explore, study","astronomer, astronomical"
athletics,B2,"Atletizm, spor","run, jump, compete","athlete, athletic"
attached,B2,"Bağlı, iliştirilmiş, düşkün","attach, connect, fix, join","attachment"
attainable,B2,"Ulaşılabilir, elde edilebilir","attain, achieve, reach","attainment"
attainment,B2,"Elde etme, erişim, kazanım","attain, achieve, acquire"
attendance,B2,"Katılım, mevcudiyet, devam","attend, participate, present","attendant"
attentive,B2,"İlgili, dikkatli, özenli","attend, listen, focus","attentively, attention"
attentively,B2,"Dikkatle, ilgiyle","listen, focus, watch"
attractiveness,B2,"Çekicilik, cazibe","attract, appeal, charm","attractive"
attribute,B2,"(Suçu/başarıyı birine) bağlamak, yormak, özellik","attribute, ascribe, credit, property","attribution"
atypical,B2,"Atipik, tipik olmayan, sıra dışı","differ, vary"
aubergine,B2,"Patlıcan"
audit,B2,"Denetlemek, hesap kontrolü yapmak","audit, inspect, check, examine","auditor, auditing"
audition,B2,"Seçmelere katılmak, ses/oyun denemesi","audition, test, tryout, perform"
authoritative,B2,"Otoriter, yetkili, güvenilir","authorize, command, rule","authority, authorize"
authorize/authorise,B2,"Yetkilendirmek, izin vermek","authorize, empower, permit, approve","authorization, authoritative"
availability,B2,"Bulunabilirlik, kullanılabilirlik, müsaitlik","avail, provide, access","available"
await,B2,"Beklemek","await, wait, expect"
awe,B2,"Hayranlık ve korku karışımı duygu, dehşetle karışık hayranlık","marvel, admire, wonder","awesome"
ax/axe,B2,"Balta, baltayla kesmek","chop, cut, hack"
axis,B2,"Eksen","rotate, revolve"
